team,match_rank_recent,date,tournament,neutral,side,opponent,home_team,away_team,home_score,away_score,team_scoreline,team_result,city,country
Colombia,41,2023-03-24,Friendly,0,away,South Korea,South Korea,Colombia,2,2,2-2,D,Ulsan,South Korea
Colombia,42,2023-01-28,Friendly,0,away,United States,United States,Colombia,0,0,0-0,D,Carson,United States
Colombia,43,2022-11-19,Friendly,1,neutral,Paraguay,Colombia,Paraguay,2,0,2-0,W,Fort Lauderdale,United States
Colombia,44,2022-09-27,Friendly,1,neutral,Mexico,Mexico,Colombia,2,3,3-2,W,Santa Clara,United States
Colombia,45,2022-09-24,Friendly,1,neutral,Guatemala,Colombia,Guatemala,4,1,4-1,W,Harrison,United States
Colombia,46,2022-06-05,Friendly,1,neutral,Saudi Arabia,Saudi Arabia,Colombia,0,1,1-0,W,Murcia,Spain
Colombia,47,2022-03-29,FIFA World Cup qualification,0,away,Venezuela,Venezuela,Colombia,0,1,1-0,W,Guayana,Venezuela
Colombia,48,2022-03-24,FIFA World Cup qualification,0,home,Bolivia,Colombia,Bolivia,3,0,3-0,W,Barranquilla,Colombia
Colombia,49,2022-02-01,FIFA World Cup qualification,0,away,Argentina,Argentina,Colombia,1,0,0-1,L,Córdoba,Argentina
Colombia,50,2022-01-28,FIFA World Cup qualification,0,home,Peru,Colombia,Peru,0,1,0-1,L,Barranquilla,Colombia
Colombia,51,2022-01-16,Friendly,1,neutral,Honduras,Colombia,Honduras,2,1,2-1,W,Fort Lauderdale,United States
Colombia,52,2021-11-16,FIFA World Cup qualification,0,home,Paraguay,Colombia,Paraguay,0,0,0-0,D,Barranquilla,Colombia
Colombia,53,2021-11-11,FIFA World Cup qualification,0,away,Brazil,Brazil,Colombia,1,0,0-1,L,São Paulo,Brazil
Colombia,54,2021-10-14,FIFA World Cup qualification,0,home,Ecuador,Colombia,Ecuador,0,0,0-0,D,Barranquilla,Colombia
Colombia,55,2021-10-10,FIFA World Cup qualification,0,home,Brazil,Colombia,Brazil,0,0,0-0,D,Barranquilla,Colombia
Colombia,56,2021-10-07,FIFA World Cup qualification,0,away,Uruguay,Uruguay,Colombia,0,0,0-0,D,Montevideo,Uruguay
Colombia,57,2021-09-09,FIFA World Cup qualification,0,home,Chile,Colombia,Chile,3,1,3-1,W,Barranquilla,Colombia
Colombia,58,2021-09-05,FIFA World Cup qualification,0,away,Paraguay,Paraguay,Colombia,1,1,1-1,D,Asunción,Paraguay
Colombia,59,2021-09-02,FIFA World Cup qualification,0,away,Bolivia,Bolivia,Colombia,1,1,1-1,D,La Paz,Bolivia
Colombia,60,2021-07-09,Copa América,1,neutral,Peru,Peru,Colombia,2,3,3-2,W,Brasília,Brazil
Croatia,1,2026-06-07,Friendly,0,home,Slovenia,Croatia,Slovenia,2,1,2-1,W,Varaždin,Croatia
Croatia,2,2026-06-02,Friendly,0,home,Belgium,Croatia,Belgium,0,2,0-2,L,Rijeka,Croatia
Croatia,3,2026-03-31,Friendly,1,neutral,Brazil,Brazil,Croatia,3,1,1-3,L,Orlando,United States
Croatia,4,2026-03-26,Friendly,1,neutral,Colombia,Colombia,Croatia,1,2,2-1,W,Orlando,United States
Croatia,5,2025-11-17,FIFA World Cup qualification,0,away,Montenegro,Montenegro,Croatia,2,3,3-2,W,Podgorica,Montenegro
Croatia,6,2025-11-14,FIFA World Cup qualification,0,home,Faroe Islands,Croatia,Faroe Islands,3,1,3-1,W,Rijeka,Croatia
Croatia,7,2025-10-12,FIFA World Cup qualification,0,home,Gibraltar,Croatia,Gibraltar,3,0,3-0,W,Varaždin,Croatia
Croatia,8,2025-10-09,FIFA World Cup qualification,0,away,Czech Republic,Czech Republic,Croatia,0,0,0-0,D,Prague,Czech Republic
Croatia,9,2025-09-08,FIFA World Cup qualification,0,home,Montenegro,Croatia,Montenegro,4,0,4-0,W,Zagreb,Croatia
Croatia,10,2025-09-05,FIFA World Cup qualification,0,away,Faroe Islands,Faroe Islands,Croatia,0,1,1-0,W,Tórshavn,Faroe Islands
Croatia,11,2025-06-09,FIFA World Cup qualification,0,home,Czech Republic,Croatia,Czech Republic,5,1,5-1,W,Osijek,Croatia
Croatia,12,2025-06-06,FIFA World Cup qualification,1,neutral,Gibraltar,Gibraltar,Croatia,0,7,7-0,W,Faro-Loulé,Portugal
Croatia,13,2025-03-23,UEFA Nations League,0,away,France,France,Croatia,2,0,0-2,L,Paris,France
Croatia,14,2025-03-20,UEFA Nations League,0,home,France,Croatia,France,2,0,2-0,W,Split,Croatia
Croatia,15,2024-11-18,UEFA Nations League,0,home,Portugal,Croatia,Portugal,1,1,1-1,D,Split,Croatia
Croatia,16,2024-11-15,UEFA Nations League,0,away,Scotland,Scotland,Croatia,1,0,0-1,L,Glasgow,Scotland
Croatia,17,2024-10-15,UEFA Nations League,0,away,Poland,Poland,Croatia,3,3,3-3,D,Warsaw,Poland
Croatia,18,2024-10-12,UEFA Nations League,0,home,Scotland,Croatia,Scotland,2,1,2-1,W,Zagreb,Croatia
Croatia,19,2024-09-08,UEFA Nations League,0,home,Poland,Croatia,Poland,1,0,1-0,W,Osijek,Croatia
Croatia,20,2024-09-05,UEFA Nations League,0,away,Portugal,Portugal,Croatia,2,1,1-2,L,Lisbon,Portugal
Croatia,21,2024-06-24,UEFA Euro,1,neutral,Italy,Croatia,Italy,1,1,1-1,D,Leipzig,Germany
