team,match_rank_recent,date,side,home_team,away_team,opponent,team_scoreline,home_score,away_score,team_result,tournament,city,country,neutral,within_last_year,source_url
Australia,3,2026-03-31,home,Australia,Curaçao,Curaçao,5-1,5,1,W,FIFA Series,Melbourne,Australia,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,4,2026-03-27,home,Australia,Cameroon,Cameroon,1-0,1,0,W,FIFA Series,Sydney,Australia,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,5,2025-11-18,neutral,Colombia,Australia,Colombia,0-3,3,0,L,Friendly,New York,United States,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,6,2025-11-14,neutral,Australia,Venezuela,Venezuela,0-1,0,1,L,Friendly,Houston,United States,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,7,2025-10-14,away,United States,Australia,United States,1-2,2,1,L,Friendly,Denver,United States,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,8,2025-10-10,away,Canada,Australia,Canada,1-0,0,1,W,Friendly,Montreal,Canada,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,9,2025-09-09,away,New Zealand,Australia,New Zealand,3-1,1,3,W,Soccer Ashes,Auckland,New Zealand,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,10,2025-09-05,home,Australia,New Zealand,New Zealand,1-0,1,0,W,Soccer Ashes,Canberra,Australia,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,11,2025-06-10,away,Saudi Arabia,Australia,Saudi Arabia,2-1,1,2,W,FIFA World Cup qualification,Jeddah,Saudi Arabia,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,12,2025-06-05,home,Australia,Japan,Japan,1-0,1,0,W,FIFA World Cup qualification,Perth,Australia,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,13,2025-03-25,away,China,Australia,China,2-0,0,2,W,FIFA World Cup qualification,Hangzhou,China,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,14,2025-03-20,home,Australia,Indonesia,Indonesia,5-1,5,1,W,FIFA World Cup qualification,Sydney,Australia,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,15,2024-11-19,away,Bahrain,Australia,Bahrain,2-2,2,2,D,FIFA World Cup qualification,Riffa,Bahrain,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,16,2024-11-14,home,Australia,Saudi Arabia,Saudi Arabia,0-0,0,0,D,FIFA World Cup qualification,Melbourne,Australia,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,17,2024-10-15,away,Japan,Australia,Japan,1-1,1,1,D,FIFA World Cup qualification,Saitama,Japan,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,18,2024-10-10,home,Australia,China,China,3-1,3,1,W,FIFA World Cup qualification,Adelaide,Australia,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,19,2024-09-10,away,Indonesia,Australia,Indonesia,0-0,0,0,D,FIFA World Cup qualification,Jakarta,Indonesia,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,20,2024-09-05,home,Australia,Bahrain,Bahrain,0-1,0,1,L,FIFA World Cup qualification,Robina,Australia,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,1,2026-06-01,home,Austria,Tunisia,Tunisia,1-0,1,0,W,Friendly,Vienna,Austria,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,2,2026-03-31,home,Austria,South Korea,South Korea,1-0,1,0,W,Friendly,Vienna,Austria,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,3,2026-03-27,home,Austria,Ghana,Ghana,5-1,5,1,W,Friendly,Vienna,Austria,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,4,2025-11-18,home,Austria,Bosnia and Herzegovina,Bosnia and Herzegovina,1-1,1,1,D,FIFA World Cup qualification,Vienna,Austria,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,5,2025-11-15,away,Cyprus,Austria,Cyprus,2-0,0,2,W,FIFA World Cup qualification,Limassol,Cyprus,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,6,2025-10-12,away,Romania,Austria,Romania,0-1,1,0,L,FIFA World Cup qualification,Bucharest,Romania,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,7,2025-10-09,home,Austria,San Marino,San Marino,10-0,10,0,W,FIFA World Cup qualification,Vienna,Austria,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,8,2025-09-09,away,Bosnia and Herzegovina,Austria,Bosnia and Herzegovina,2-1,1,2,W,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,9,2025-09-06,home,Austria,Cyprus,Cyprus,1-0,1,0,W,FIFA World Cup qualification,Linz,Austria,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,10,2025-06-10,away,San Marino,Austria,San Marino,4-0,0,4,W,FIFA World Cup qualification,Serravalle,San Marino,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,11,2025-06-07,home,Austria,Romania,Romania,2-1,2,1,W,FIFA World Cup qualification,Vienna,Austria,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,12,2025-03-23,away,Serbia,Austria,Serbia,0-2,2,0,L,UEFA Nations League,Belgrade,Serbia,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,13,2025-03-20,home,Austria,Serbia,Serbia,1-1,1,1,D,UEFA Nations League,Vienna,Austria,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,14,2024-11-17,home,Austria,Slovenia,Slovenia,1-1,1,1,D,UEFA Nations League,Vienna,Austria,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,15,2024-11-14,away,Kazakhstan,Austria,Kazakhstan,2-0,0,2,W,UEFA Nations League,Almaty,Kazakhstan,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,16,2024-10-13,home,Austria,Norway,Norway,5-1,5,1,W,UEFA Nations League,Linz,Austria,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,17,2024-10-10,home,Austria,Kazakhstan,Kazakhstan,4-0,4,0,W,UEFA Nations League,Salzburg,Austria,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,18,2024-09-09,away,Norway,Austria,Norway,1-2,2,1,L,UEFA Nations League,Oslo,Norway,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,19,2024-09-06,away,Slovenia,Austria,Slovenia,1-1,1,1,D,UEFA Nations League,Ljubljana,Slovenia,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Austria,20,2024-07-02,neutral,Austria,Turkey,Turkey,1-2,1,2,L,UEFA Euro,Leipzig,Germany,1,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,1,2026-06-06,home,Belgium,Tunisia,Tunisia,5-0,5,0,W,Friendly,Brussels,Belgium,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,2,2026-06-02,away,Croatia,Belgium,Croatia,2-0,0,2,W,Friendly,Rijeka,Croatia,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,3,2026-03-31,neutral,Mexico,Belgium,Mexico,1-1,1,1,D,Friendly,Chicago,United States,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,4,2026-03-28,away,United States,Belgium,United States,5-2,2,5,W,Friendly,Atlanta,United States,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,5,2025-11-18,home,Belgium,Liechtenstein,Liechtenstein,7-0,7,0,W,FIFA World Cup qualification,Liège,Belgium,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,6,2025-11-15,away,Kazakhstan,Belgium,Kazakhstan,1-1,1,1,D,FIFA World Cup qualification,Astana,Kazakhstan,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,7,2025-10-13,away,Wales,Belgium,Wales,4-2,2,4,W,FIFA World Cup qualification,Cardiff,Wales,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,8,2025-10-10,home,Belgium,North Macedonia,North Macedonia,0-0,0,0,D,FIFA World Cup qualification,Gent,Belgium,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
