fixture_id,fixture_event_name_pt,fixture_home_team,fixture_away_team,h2h_rank_recent,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,source_url
60,Paraguai x Austrália,Paraguay,Australia,2,2006-10-07,Australia,Paraguay,1,1,Friendly,Brisbane,Australia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
60,Paraguai x Austrália,Paraguay,Australia,3,2000-06-15,Australia,Paraguay,2,1,Friendly,Melbourne,Australia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
60,Paraguai x Austrália,Paraguay,Australia,4,2000-06-12,Australia,Paraguay,0,0,Friendly,Brisbane,Australia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
60,Paraguai x Austrália,Paraguay,Australia,5,2000-06-09,Australia,Paraguay,0,0,Friendly,Sydney,Australia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
62,Noruega x França,Norway,France,1,2014-05-27,France,Norway,4,0,Friendly,Saint-Denis,France,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
62,Noruega x França,Norway,France,2,2010-08-11,Norway,France,2,1,Friendly,Oslo,Norway,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
62,Noruega x França,Norway,France,3,1998-02-25,France,Norway,3,3,Friendly,Marseille,France,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
62,Noruega x França,Norway,France,4,1995-07-22,Norway,France,0,0,Friendly,Oslo,Norway,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
62,Noruega x França,Norway,France,5,1989-09-05,Norway,France,1,1,FIFA World Cup qualification,Oslo,Norway,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
64,Uruguai x Espanha,Uruguay,Spain,1,2013-06-16,Spain,Uruguay,2,1,Confederations Cup,Recife,Brazil,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
64,Uruguai x Espanha,Uruguay,Spain,2,2013-02-06,Spain,Uruguay,3,1,Friendly,Doha,Qatar,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
64,Uruguai x Espanha,Uruguay,Spain,3,2005-08-17,Spain,Uruguay,2,0,Friendly,Gijón,Spain,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
64,Uruguai x Espanha,Uruguay,Spain,4,1995-01-18,Spain,Uruguay,2,2,Friendly,La Coruña,Spain,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
64,Uruguai x Espanha,Uruguay,Spain,5,1991-09-04,Spain,Uruguay,2,1,Friendly,Oviedo,Spain,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
66,Egito x Irã,Egypt,Iran,1,2000-06-07,Iran,Egypt,1,1,Friendly,Tehran,Iran,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
68,Panamá x Inglaterra,Panama,England,1,2018-06-24,England,Panama,6,1,FIFA World Cup,Nizhny Novgorod,Russia,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
71,Argélia x Áustria,Algeria,Austria,1,1982-06-21,Algeria,Austria,0,2,FIFA World Cup,Oviedo,Spain,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
