extra_time,goals_against,goals_for,match_date,match_name,opponent,penalty_shootout,result_after_match_rules,score,score_penalties,side,source,stage_name,team,year
0,1,0,2006-06-25,Portugal vs Netherlands,Portugal,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Netherlands,2006
0,1,0,2006-06-26,Italy vs Australia,Italy,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Australia,2006
1,0,0,2006-06-26,Switzerland vs Ukraine,Ukraine,1,L,0–0,0–3,home,jfjelstul/worldcup matches.csv,round of 16,Switzerland,2006
0,0,3,2006-06-27,Brazil vs Ghana,Ghana,0,W,3–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Brazil,2006
0,3,0,2006-06-27,Brazil vs Ghana,Brazil,0,L,3–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Ghana,2006
0,3,1,2006-06-27,Spain vs France,France,0,L,1–3,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Spain,2006
0,1,3,2006-06-27,Spain vs France,Spain,0,W,1–3,0-0,away,jfjelstul/worldcup matches.csv,round of 16,France,2006
1,1,1,2006-06-30,Germany vs Argentina,Argentina,1,W,1–1,4–2,home,jfjelstul/worldcup matches.csv,quarter-finals,Germany,2006
1,1,1,2006-06-30,Germany vs Argentina,Germany,1,L,1–1,4–2,away,jfjelstul/worldcup matches.csv,quarter-finals,Argentina,2006
1,0,0,2006-07-01,England vs Portugal,Portugal,1,L,0–0,1–3,home,jfjelstul/worldcup matches.csv,quarter-finals,England,2006
1,0,0,2006-07-01,England vs Portugal,England,1,W,0–0,1–3,away,jfjelstul/worldcup matches.csv,quarter-finals,Portugal,2006
0,1,0,2006-07-01,Brazil vs France,France,0,L,0–1,0-0,home,jfjelstul/worldcup matches.csv,quarter-finals,Brazil,2006
0,0,1,2006-07-01,Brazil vs France,Brazil,0,W,0–1,0-0,away,jfjelstul/worldcup matches.csv,quarter-finals,France,2006
1,2,0,2006-07-04,Germany vs Italy,Italy,0,L,0–2,0-0,home,jfjelstul/worldcup matches.csv,semi-finals,Germany,2006
0,1,0,2006-07-05,Portugal vs France,France,0,L,0–1,0-0,home,jfjelstul/worldcup matches.csv,semi-finals,Portugal,2006
0,0,1,2006-07-05,Portugal vs France,Portugal,0,W,0–1,0-0,away,jfjelstul/worldcup matches.csv,semi-finals,France,2006
0,1,3,2006-07-08,Germany vs Portugal,Portugal,0,W,3–1,0-0,home,jfjelstul/worldcup matches.csv,third-place match,Germany,2006
0,3,1,2006-07-08,Germany vs Portugal,Germany,0,L,3–1,0-0,away,jfjelstul/worldcup matches.csv,third-place match,Portugal,2006
1,1,1,2006-07-09,Italy vs France,Italy,1,L,1–1,5–3,away,jfjelstul/worldcup matches.csv,final,France,2006
0,0,3,2007-09-22,Germany vs North Korea,North Korea,0,W,3–0,0-0,home,jfjelstul/worldcup matches.csv,quarter-final,Germany,2007
0,0,3,2007-09-22,United States vs England,England,0,W,3–0,0-0,home,jfjelstul/worldcup matches.csv,quarter-final,United States,2007
0,3,0,2007-09-22,United States vs England,United States,0,L,3–0,0-0,away,jfjelstul/worldcup matches.csv,quarter-final,England,2007
0,0,1,2007-09-23,Norway vs China,China,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,quarter-final,Norway,2007
0,2,3,2007-09-23,Brazil vs Australia,Australia,0,W,3–2,0-0,home,jfjelstul/worldcup matches.csv,quarter-final,Brazil,2007
0,3,2,2007-09-23,Brazil vs Australia,Brazil,0,L,3–2,0-0,away,jfjelstul/worldcup matches.csv,quarter-final,Australia,2007
