captured_at,source,source_url,match_date_query,match_id_fifa,match_no,event_name,home_team,away_team,kickoff,location,city,referee,home_score,away_score,status,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goals_home_detail,goals_away_detail,raw_text_path,data_quality_notes
2026-06-28T10:59:54+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021495,2026-06-28,400021495,70,Jordan vs. Argentina,Jordan,Argentina,2026-06-28T02:00:00Z,Dallas Stadium,Dallas,Istvan KOVACS,1,3,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-28T02:35:56+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021505,2026-06-27,400021505,71,Colombia vs. Portugal,Colombia,Portugal,2026-06-27T23:30:00Z,Miami Stadium,Miami,Alireza FAGHANI,0,0,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-28T02:35:56+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021500,2026-06-27,400021500,72,Congo DR vs. Uzbekistan,Congo DR,Uzbekistan,2026-06-27T23:30:00Z,Atlanta Stadium,Atlanta,Felix ZWAYER,3,1,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-29T00:19:44+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021518,2026-06-28,400021518,73,South Africa vs. Canada,South Africa,Canada,2026-06-28T19:00:00Z,Los Angeles Stadium,Los Angeles,Joao PINHEIRO,0,1,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-30T02:30:41+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021513,2026-06-29,400021513,74,Germany vs. Paraguay,Germany,Paraguay,2026-06-29T20:30:00Z,Boston Stadium,Boston,Jalal JAYED,1,1,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-30T11:39:54+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021522,2026-06-30,400021522,75,Netherlands vs. Morocco,Netherlands,Morocco,2026-06-30T01:00:00Z,Monterrey Stadium,Monterrey,Wilton SAMPAIO,1,1,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-29T19:43:59+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021516,2026-06-29,400021516,76,Brazil vs. Japan,Brazil,Japan,2026-06-29T17:00:00Z,Houston Stadium,Houston,Maurizio MARIANI,2,1,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-30T23:03:21+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021523,2026-06-30,400021523,77,France vs. Sweden,France,Sweden,2026-06-30T21:00:00Z,New York/New Jersey Stadium,New Jersey,Danny MAKKELIE,3,0,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-30T19:43:15+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021514,2026-06-30,400021514,78,Côte d'Ivoire vs. Norway,Côte d'Ivoire,Norway,2026-06-30T17:00:00Z,Dallas Stadium,Dallas,Jesus VALENZUELA,1,2,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-07-01T11:52:19+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021520,2026-07-01,400021520,79,Mexico vs. Ecuador,Mexico,Ecuador,2026-07-01T02:00:00Z,Mexico City Stadium,Mexico City,Slavko VINCIC,2,0,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
